Postcode,Month,Capacity (kW)
3818,2007-01,0
3818,2007-02,1
3818,2007-03,0
3818,2007-04,1
3818,2007-05,0
3818,2007-06,0
3818,2007-07,0
3818,2007-08,0
3818,2007-09,0
3818,2007-10,0
3818,2007-11,1
3818,2007-12,0
3818,2008-01,6
3818,2008-02,0
3818,2008-03,4
3818,2008-04,3
3818,2008-05,1
3818,2008-06,0
3818,2008-07,1
3818,2008-08,0
3818,2008-09,0
3818,2008-10,1
3818,2008-11,0
3818,2008-12,0
3818,2009-01,2
3818,2009-02,0
3818,2009-03,2
3818,2009-04,0
3818,2009-05,1
3818,2009-06,7
3818,2009-07,5
3818,2009-08,4
3818,2009-09,3
3818,2009-10,5
3818,2009-11,5
3818,2009-12,2
3818,2010-01,8
3818,2010-02,11
3818,2010-03,16
3818,2010-04,4
3818,2010-05,18
3818,2010-06,12
3818,2010-07,15
3818,2010-08,4
3818,2010-09,31
3818,2010-10,23
3818,2010-11,34
3818,2010-12,12
3818,2011-01,34
3818,2011-02,54
3818,2011-03,99
3818,2011-04,73
3818,2011-05,112
3818,2011-06,141
3818,2011-07,45
3818,2011-08,49
3818,2011-09,84
3818,2011-10,20
3818,2011-11,31
3818,2011-12,21
3818,2012-01,24
3818,2012-02,56
3818,2012-03,25
3818,2012-04,66
3818,2012-05,92
3818,2012-06,94
3818,2012-07,32
3818,2012-08,68
3818,2012-09,129
3818,2012-10,57
3818,2012-11,25
3818,2012-12,26
3818,2013-01,21
3818,2013-02,32
3818,2013-03,25
3818,2013-04,23
3818,2013-05,45
3818,2013-06,32
3818,2013-07,59
3818,2013-08,37
3818,2013-09,44
3818,2013-10,46
3818,2013-11,57
3818,2013-12,42
3818,2014-01,47
3818,2014-02,56
3818,2014-03,63
3818,2014-04,23
3818,2014-05,71
3818,2014-06,29
3818,2014-07,45
3818,2014-08,44
3818,2014-09,46
3818,2014-10,40
3818,2014-11,41
3818,2014-12,36
3818,2015-01,29
3818,2015-02,17
3818,2015-03,71
3818,2015-04,37
3818,2015-05,25
3818,2015-06,48
3818,2015-07,28
3818,2015-08,55
3818,2015-09,20
3818,2015-10,44
3818,2015-11,37
3818,2015-12,93
3818,2016-01,15
3818,2016-02,40
3818,2016-03,52
3818,2016-04,57
3818,2016-05,17
3818,2016-06,31
3818,2016-07,36
3818,2016-08,58
3818,2016-09,49
3818,2016-10,102
3818,2016-11,25
3818,2016-12,92
3818,2017-01,35
3818,2017-02,78
3818,2017-03,38
3818,2017-04,50
3818,2017-05,59
3818,2017-06,163
3818,2017-07,31
3818,2017-08,52
3818,2017-09,117
3818,2017-10,127
3818,2017-11,91
3818,2017-12,319
3818,2018-01,101
3818,2018-02,18
3818,2018-03,96
3818,2018-04,128
3818,2018-05,79
3818,2018-06,119
3818,2018-07,160
3818,2018-08,99
3818,2018-09,81
3818,2018-10,141
3818,2018-11,264
3818,2018-12,117
3818,2019-01,318
3818,2019-02,104
3818,2019-03,1028
3818,2019-04,132
3818,2019-05,115
3818,2019-06,71
3818,2019-07,224
3818,2019-08,94
3818,2019-09,103
3818,2019-10,129
3818,2019-11,123
3818,2019-12,90
3818,2020-01,44
3818,2020-02,103
3818,2020-03,169
3818,2020-04,107
3818,2020-05,90
3818,2020-06,129
3818,2020-07,150
3818,2020-08,184
3818,2020-09,227
3818,2020-10,167
3818,2020-11,136
3818,2020-12,265
3818,2021-01,126
3818,2021-02,197
3818,2021-03,212
3818,2021-04,157
3818,2021-05,156
3818,2021-06,292
3818,2021-07,154
3818,2021-08,150
3818,2021-09,99
3818,2021-10,135
3818,2021-11,337
3818,2021-12,233
3818,2022-01,79
3818,2022-02,135
3818,2022-03,134
3818,2022-04,112
3818,2022-05,119
3818,2022-06,105
3818,2022-07,258
3818,2022-08,147
3818,2022-09,139
3818,2022-10,118
3818,2022-11,98
3818,2022-12,281
3818,2023-01,132
3818,2023-02,126
3818,2023-03,134
3818,2023-04,154
3818,2023-05,123
3818,2023-06,112
3818,2023-07,108
3818,2023-08,247
3818,2023-09,221
3818,2023-10,168
3818,2023-11,203
3818,2023-12,195
3818,2024-01,118
3818,2024-02,79
3818,2024-03,170
3818,2024-04,119
3818,2024-05,118
3818,2024-06,34
6448,2007-01,0
6448,2007-02,0
6448,2007-03,0
6448,2007-04,0
6448,2007-05,0
6448,2007-06,0
6448,2007-07,0
6448,2007-08,0
6448,2007-09,0
6448,2007-10,0
6448,2007-11,0
6448,2007-12,0
6448,2008-01,0
6448,2008-02,0
6448,2008-03,0
6448,2008-04,0
6448,2008-05,0
6448,2008-06,0
6448,2008-07,0
6448,2008-08,0
6448,2008-09,0
6448,2008-10,0
6448,2008-11,0
6448,2008-12,0
6448,2009-01,0
6448,2009-02,0
6448,2009-03,0
6448,2009-04,0
6448,2009-05,0
6448,2009-06,0
6448,2009-07,0
6448,2009-08,0
6448,2009-09,0
6448,2009-10,0
6448,2009-11,0
6448,2009-12,0
6448,2010-01,0
6448,2010-02,4
6448,2010-03,0
6448,2010-04,0
6448,2010-05,0
6448,2010-06,0
6448,2010-07,0
6448,2010-08,0
6448,2010-09,0
6448,2010-10,0
6448,2010-11,0
6448,2010-12,0
6448,2011-01,0
6448,2011-02,2
6448,2011-03,0
6448,2011-04,0
6448,2011-05,0
6448,2011-06,0
6448,2011-07,0
6448,2011-08,0
6448,2011-09,0
6448,2011-10,0
6448,2011-11,0
6448,2011-12,0
6448,2012-01,0
6448,2012-02,0
6448,2012-03,0
6448,2012-04,0
6448,2012-05,0
6448,2012-06,15
6448,2012-07,0
6448,2012-08,0
6448,2012-09,0
6448,2012-10,0
6448,2012-11,0
6448,2012-12,0
6448,2013-01,0
6448,2013-02,5
6448,2013-03,0
6448,2013-04,0
6448,2013-05,0
6448,2013-06,0
6448,2013-07,0
6448,2013-08,0
6448,2013-09,0
6448,2013-10,0
6448,2013-11,5
6448,2013-12,0
6448,2014-01,0
6448,2014-02,0
6448,2014-03,0
6448,2014-04,0
6448,2014-05,0
6448,2014-06,0
6448,2014-07,0
6448,2014-08,5
6448,2014-09,0
6448,2014-10,0
6448,2014-11,0
6448,2014-12,0
6448,2015-01,0
6448,2015-02,0
6448,2015-03,0
6448,2015-04,0
6448,2015-05,0
6448,2015-06,0
6448,2015-07,0
6448,2015-08,0
6448,2015-09,0
6448,2015-10,0
6448,2015-11,0
6448,2015-12,0
6448,2016-01,0
6448,2016-02,0
6448,2016-03,0
6448,2016-04,0
6448,2016-05,0
6448,2016-06,0
6448,2016-07,0
6448,2016-08,0
6448,2016-09,0
6448,2016-10,0
6448,2016-11,0
6448,2016-12,0
6448,2017-01,0
6448,2017-02,0
6448,2017-03,0
6448,2017-04,0
6448,2017-05,0
6448,2017-06,0
6448,2017-07,0
6448,2017-08,0
6448,2017-09,0
6448,2017-10,0
6448,2017-11,0
6448,2017-12,0
6448,2018-01,0
6448,2018-02,0
6448,2018-03,0
6448,2018-04,0
6448,2018-05,0
6448,2018-06,0
6448,2018-07,0
6448,2018-08,0
6448,2018-09,0
6448,2018-10,0
6448,2018-11,0
6448,2018-12,0
6448,2019-01,0
6448,2019-02,0
6448,2019-03,0
6448,2019-04,0
6448,2019-05,0
6448,2019-06,0
6448,2019-07,0
6448,2019-08,0
6448,2019-09,0
6448,2019-10,0
6448,2019-11,0
6448,2019-12,0
6448,2020-01,7
6448,2020-02,0
6448,2020-03,0
6448,2020-04,0
6448,2020-05,0
6448,2020-06,0
6448,2020-07,0
6448,2020-08,0
6448,2020-09,16
6448,2020-10,0
6448,2020-11,0
6448,2020-12,0
6448,2021-01,0
6448,2021-02,0
6448,2021-03,0
6448,2021-04,0
6448,2021-05,0
6448,2021-06,0
6448,2021-07,0
6448,2021-08,0
6448,2021-09,0
6448,2021-10,0
6448,2021-11,0
6448,2021-12,0
6448,2022-01,0
6448,2022-02,10
6448,2022-03,0
6448,2022-04,0
6448,2022-05,0
6448,2022-06,0
6448,2022-07,0
6448,2022-08,0
6448,2022-09,0
6448,2022-10,9
6448,2022-11,0
6448,2022-12,7
6448,2023-01,0
6448,2023-02,0
6448,2023-03,0
6448,2023-04,0
6448,2023-05,0
6448,2023-06,0
6448,2023-07,0
6448,2023-08,0
6448,2023-09,0
6448,2023-10,0
6448,2023-11,0
6448,2023-12,7
6448,2024-01,0
6448,2024-02,0
6448,2024-03,0
6448,2024-04,0
6448,2024-05,0
6448,2024-06,0
2XXX,2007-01,26
2XXX,2007-02,43
2XXX,2007-03,44
2XXX,2007-04,45
2XXX,2007-05,54
2XXX,2007-06,63
2XXX,2007-07,124
2XXX,2007-08,142
2XXX,2007-09,189
2XXX,2007-10,201
2XXX,2007-11,190
2XXX,2007-12,241
2XXX,2008-01,288
2XXX,2008-02,262
2XXX,2008-03,291
2XXX,2008-04,303
2XXX,2008-05,337
2XXX,2008-06,281
2XXX,2008-07,377
2XXX,2008-08,383
2XXX,2008-09,446
2XXX,2008-10,503
2XXX,2008-11,482
2XXX,2008-12,717
2XXX,2009-01,616
2XXX,2009-02,862
2XXX,2009-03,1101
2XXX,2009-04,1206
2XXX,2009-05,1213
2XXX,2009-06,1242
2XXX,2009-07,1418
2XXX,2009-08,1882
2XXX,2009-09,2327
2XXX,2009-10,2573
2XXX,2009-11,3020
2XXX,2009-12,2942
2XXX,2010-01,2778
2XXX,2010-02,4153
2XXX,2010-03,6436
2XXX,2010-04,7445
2XXX,2010-05,9784
2XXX,2010-06,14056
2XXX,2010-07,15174
2XXX,2010-08,17046
2XXX,2010-09,19006
2XXX,2010-10,21418
2XXX,2010-11,24508
2XXX,2010-12,16829
2XXX,2011-01,28158
2XXX,2011-02,27225
2XXX,2011-03,30260
2XXX,2011-04,25362
2XXX,2011-05,31523
2XXX,2011-06,37409
2XXX,2011-07,6032
2XXX,2011-08,5163
2XXX,2011-09,4612
2XXX,2011-10,5135
2XXX,2011-11,6314
2XXX,2011-12,5355
2XXX,2012-01,4362
2XXX,2012-02,6123
2XXX,2012-03,8105
2XXX,2012-04,8696
2XXX,2012-05,17894
2XXX,2012-06,31529
2XXX,2012-07,8462
2XXX,2012-08,9432
2XXX,2012-09,9446
2XXX,2012-10,11178
2XXX,2012-11,13233
2XXX,2012-12,21357
2XXX,2013-01,9993
2XXX,2013-02,11851
2XXX,2013-03,11528
2XXX,2013-04,10474
2XXX,2013-05,12375
2XXX,2013-06,10292
2XXX,2013-07,12888
2XXX,2013-08,13649
2XXX,2013-09,13509
2XXX,2013-10,13393
2XXX,2013-11,12315
2XXX,2013-12,12225
2XXX,2014-01,9462
2XXX,2014-02,11046
2XXX,2014-03,11903
2XXX,2014-04,12237
2XXX,2014-05,36478
2XXX,2014-06,14109
2XXX,2014-07,15831
2XXX,2014-08,15414
2XXX,2014-09,18072
2XXX,2014-10,18927
2XXX,2014-11,17859
2XXX,2014-12,16703
2XXX,2015-01,13776
2XXX,2015-02,17832
2XXX,2015-03,119896
2XXX,2015-04,12971
2XXX,2015-05,15711
2XXX,2015-06,15869
2XXX,2015-07,69825
2XXX,2015-08,15249
2XXX,2015-09,15821
2XXX,2015-10,15153
2XXX,2015-11,15196
2XXX,2015-12,15871
2XXX,2016-01,9668
2XXX,2016-02,69729
2XXX,2016-03,13750
2XXX,2016-04,13553
2XXX,2016-05,14595
2XXX,2016-06,15131
2XXX,2016-07,13419
2XXX,2016-08,15147
2XXX,2016-09,17619
2XXX,2016-10,14717
2XXX,2016-11,19473
2XXX,2016-12,45997
2XXX,2017-01,12571
2XXX,2017-02,17138
2XXX,2017-03,20323
2XXX,2017-04,16177
2XXX,2017-05,27051
2XXX,2017-06,23767
2XXX,2017-07,24940
2XXX,2017-08,24288
2XXX,2017-09,23825
2XXX,2017-10,27961
2XXX,2017-11,35054
2XXX,2017-12,101605
2XXX,2018-01,59453
2XXX,2018-02,31069
2XXX,2018-03,33675
2XXX,2018-04,47541
2XXX,2018-05,116696
2XXX,2018-06,36893
2XXX,2018-07,44732
2XXX,2018-08,43598
2XXX,2018-09,252521
2XXX,2018-10,42205
2XXX,2018-11,48136
2XXX,2018-12,52809
2XXX,2019-01,32231
2XXX,2019-02,44522
2XXX,2019-03,47027
2XXX,2019-04,152156
2XXX,2019-05,51525
2XXX,2019-06,49509
2XXX,2019-07,59978
2XXX,2019-08,284900
2XXX,2019-09,57034
2XXX,2019-10,318819
2XXX,2019-11,210338
2XXX,2019-12,720451
2XXX,2020-01,48784
2XXX,2020-02,71391
2XXX,2020-03,195622
2XXX,2020-04,73071
2XXX,2020-05,71519
2XXX,2020-06,169018
2XXX,2020-07,95436
2XXX,2020-08,84872
2XXX,2020-09,101380
2XXX,2020-10,128763
2XXX,2020-11,304312
2XXX,2020-12,179608
2XXX,2021-01,73072
2XXX,2021-02,135542
2XXX,2021-03,100371
2XXX,2021-04,93524
2XXX,2021-05,104484
2XXX,2021-06,241569
2XXX,2021-07,148670
2XXX,2021-08,250942
2XXX,2021-09,85448
2XXX,2021-10,205319
2XXX,2021-11,202002
2XXX,2021-12,111873
2XXX,2022-01,45904
2XXX,2022-02,68835
2XXX,2022-03,210850
2XXX,2022-04,59408
2XXX,2022-05,72313
2XXX,2022-06,83128
2XXX,2022-07,73532
2XXX,2022-08,95485
2XXX,2022-09,712384
2XXX,2022-10,88699
2XXX,2022-11,107865
2XXX,2022-12,365791
2XXX,2023-01,55624
2XXX,2023-02,85919
2XXX,2023-03,93111
2XXX,2023-04,74542
2XXX,2023-05,175948
2XXX,2023-06,102400
2XXX,2023-07,106286
2XXX,2023-08,120251
2XXX,2023-09,107525
2XXX,2023-10,124191
2XXX,2023-11,118931
2XXX,2023-12,124259
2XXX,2024-01,79610
2XXX,2024-02,95687
2XXX,2024-03,516712
2XXX,2024-04,83178
2XXX,2024-05,82118
2XXX,2024-06,47394
4XXX,2007-01,10
4XXX,2007-02,15
4XXX,2007-03,9
4XXX,2007-04,12
4XXX,2007-05,1
4XXX,2007-06,25
4XXX,2007-07,55
4XXX,2007-08,43
4XXX,2007-09,90
4XXX,2007-10,160
4XXX,2007-11,118
4XXX,2007-12,162
4XXX,2008-01,96
4XXX,2008-02,122
4XXX,2008-03,117
4XXX,2008-04,228
4XXX,2008-05,258
4XXX,2008-06,290
4XXX,2008-07,322
4XXX,2008-08,291
4XXX,2008-09,389
4XXX,2008-10,661
4XXX,2008-11,590
4XXX,2008-12,747
4XXX,2009-01,679
4XXX,2009-02,871
4XXX,2009-03,1254
4XXX,2009-04,1131
4XXX,2009-05,1327
4XXX,2009-06,1849
4XXX,2009-07,2200
4XXX,2009-08,2132
4XXX,2009-09,2446
4XXX,2009-10,3079
4XXX,2009-11,4016
4XXX,2009-12,3443
4XXX,2010-01,3126
4XXX,2010-02,4031
4XXX,2010-03,5345
4XXX,2010-04,5295
4XXX,2010-05,6383
4XXX,2010-06,8079
4XXX,2010-07,8394
4XXX,2010-08,9305
4XXX,2010-09,9331
4XXX,2010-10,10128
4XXX,2010-11,13443
4XXX,2010-12,9537
4XXX,2011-01,10549
4XXX,2011-02,13584
4XXX,2011-03,18332
4XXX,2011-04,18103
