C,NEMP.WORLD,ACTUAL_OPERATIONAL_DEMAND_DAILY,AEMO,PUBLIC,2024/06/11,04:40:00,0000000422617147,,0000000422617145
I,OPERATIONAL_DEMAND,ACTUAL,3,REGIONID,INTERVAL_DATETIME,OPERATIONAL_DEMAND,OPERATIONAL_DEMAND_ADJUSTMENT,WDR_ESTIMATE,LASTCHANGED
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 04:30:00",6906,0,0,"2024/06/10 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 05:00:00",6920,0,0,"2024/06/10 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 05:30:00",7039,0,0,"2024/06/10 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 06:00:00",7144,0,0,"2024/06/10 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 06:30:00",7421,0,0,"2024/06/10 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 07:00:00",7697,0,0,"2024/06/10 07:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 07:30:00",7977,0,0,"2024/06/10 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 08:00:00",8082,0,0,"2024/06/10 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 08:30:00",8052,0,0,"2024/06/10 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 09:00:00",7896,0,0,"2024/06/10 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 09:30:00",7628,0,0,"2024/06/10 09:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 10:00:00",7140,0,0,"2024/06/10 10:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 10:30:00",6766,0,0,"2024/06/10 10:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 11:00:00",6488,0,0,"2024/06/10 11:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 11:30:00",6258,0,0,"2024/06/10 11:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 12:00:00",6249,0,0,"2024/06/10 12:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 12:30:00",6461,0,0,"2024/06/10 12:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 13:00:00",6395,0,0,"2024/06/10 13:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 13:30:00",6216,0,0,"2024/06/10 13:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 14:00:00",6290,0,0,"2024/06/10 14:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 14:30:00",6452,0,0,"2024/06/10 14:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 15:00:00",6796,0,0,"2024/06/10 15:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 15:30:00",7303,0,0,"2024/06/10 15:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 16:00:00",7844,0,0,"2024/06/10 16:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 16:30:00",8546,0,0,"2024/06/10 16:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 17:00:00",9286,0,0,"2024/06/10 17:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 17:30:00",10118,0,0,"2024/06/10 17:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 18:00:00",10598,0,0,"2024/06/10 18:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 18:30:00",10670,0,0,"2024/06/10 18:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 19:00:00",10566,0,0,"2024/06/10 19:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 19:30:00",10373,0,0,"2024/06/10 19:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 20:00:00",10177,0,0,"2024/06/10 20:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 20:30:00",10066,0,0,"2024/06/10 20:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 21:00:00",9838,0,0,"2024/06/10 21:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 21:30:00",9520,0,0,"2024/06/10 21:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 22:00:00",9189,0,0,"2024/06/10 22:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 22:30:00",8966,0,0,"2024/06/10 22:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 23:00:00",8780,0,0,"2024/06/10 23:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/10 23:30:00",8569,0,0,"2024/06/10 23:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 00:00:00",8388,0,0,"2024/06/11 00:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 00:30:00",8228,0,0,"2024/06/11 00:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 01:00:00",8074,0,0,"2024/06/11 01:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 01:30:00",7888,0,0,"2024/06/11 01:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 02:00:00",7659,0,0,"2024/06/11 02:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 02:30:00",7441,0,0,"2024/06/11 02:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 03:00:00",7268,0,0,"2024/06/11 03:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 03:30:00",7224,0,0,"2024/06/11 03:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,NSW1,"2024/06/11 04:00:00",7250,0,0,"2024/06/11 04:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 04:30:00",5717,0,0,"2024/06/10 04:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 05:00:00",5874,0,0,"2024/06/10 05:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 05:30:00",6159,0,0,"2024/06/10 05:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 06:00:00",6450,0,0,"2024/06/10 06:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 06:30:00",6887,0,0,"2024/06/10 06:30:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 07:00:00",7188,0,0,"2024/06/10 07:00:02"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 07:30:00",7362,0,0,"2024/06/10 07:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 08:00:00",7073,0,0,"2024/06/10 08:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 08:30:00",6503,0,0,"2024/06/10 08:30:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 09:00:00",6002,0,0,"2024/06/10 09:00:01"
D,OPERATIONAL_DEMAND,ACTUAL,3,QLD1,"2024/06/10 09:30:00",5524,0,0,"2024/06/10 09:30:01"
