C,NEMP.WORLD,ROOFTOP_PV_ACTUAL_SATELLITE,AEMO,PUBLIC,2024/06/18,09:00:02,0000000423434628,DEMAND,0000000423434627
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,QI,TYPE,LASTCHANGED
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",NSW1,924.38,0.6,SATELLITE,"2024/06/18 08:50:22"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",QLD1,1260.319,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",QLDC,124.263,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",QLDN,200.277,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",QLDS,935.778,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",SA1,70.602,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",TAS1,13.621,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",TASN,8.248,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",TASS,5.373,0.6,SATELLITE,"2024/06/18 08:50:23"
D,ROOFTOP,ACTUAL,2,"2024/06/18 08:30:00",VIC1,251.967,0.6,SATELLITE,"2024/06/18 08:50:23"
C,"END OF REPORT",13
